,Model,Year,KM,Sell_Price,IsaPro?,Number,Mean_Price_Argus,Exceed_Mean_Price,lat,long
99,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,5219,17900,Pro,0422170107,16000.0,True,43.5603151,7.0337141
100,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,18670,16990,Pro,0490786363,16000.0,True,43.8366045,5.0407814
101,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,8210,17490,Pro,0422170093,16000.0,True,43.663739,7.14882
102,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,5470,17900,Pro,0490421313,16000.0,True,43.640199,5.097022
103,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,4733,18300,Pro,0422170107,16000.0,True,43.5603151,7.0337141
104,Renault Captur DIESEL BUSINESS,2013.0,22900,15990,Pro,0.0,16850.0,False,43.5388336,5.4044268
105,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,40860,15290,Pro,0.0,16100.0,False,43.5990157,7.103639599999999
106,Renault Captur DIESEL 1.5 DCI 90 BUSINESS EDC,2014.0,18507,17490,Pro,0490786363,17600.0,False,43.8366045,5.0407814
107,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,11852,17990,Pro,0490188023,16100.0,True,43.6017739,4.624375100000001
108,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10,18900,Pro,0664169951,17700.0,True,43.404811,5.053728
110,Renault Captur DIESEL 1.5 DCI 90 INTENS EDC,2014.0,10,21890,Pro,0.0,17500.0,True,43.591912,5.126824
111,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,18637,18500,Pro,0490421313,17700.0,True,43.640199,5.097022
112,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10,19900,Pro,0486802083,17700.0,True,43.45859799999999,5.249702999999999
114,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,5,18990,Pro,0494197103,17700.0,True,43.435857,6.6317461
116,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10,18990,Pro,0608929780,17700.0,True,43.4212739,5.218332
117,Renault Captur DIESEL INTENS,2013.0,9800,15500,0,0.0,17600.0,False,43.300771,5.3821768
119,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,17913,16200,0,0.0,16100.0,True,43.17365299999999,5.605155
121,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,4535,17800,Pro,0422170191,16000.0,True,43.2926781,5.5676425
122,Renault Captur DIESEL 1.5 DCI 90 INTENS EDC,2014.0,2400,20900,Pro,0442405353,17500.0,True,43.405449,4.985931
123,Renault Captur DIESEL ARIZONA,2014.0,4500,19200,0,0652694408,17700.0,True,43.429668,5.434832999999999
124,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,28000,14500,0,0.0,17700.0,False,43.624076,6.694103000000001
125,Renault Captur ESSENCE 1.2 TCE 120 ZEN EDC,2013.0,7450,16500,Pro,0682177533,16000.0,True,43.102976,5.878219
